Log for Naval Warfare 2D, intended for debugging purposes only! 

(ENTRY #1) 2022-02-20 18:16:57.258742 >> Initialized Log handler...
(ENTRY #2) 2022-02-20 18:16:57.479240 >> Initialized Warship handler...
(ENTRY #3) 2022-02-20 18:16:57.491740 >> Initialized GUI handler...
(ENTRY #4) 2022-02-20 18:16:57.492245 >> Starting Naval Warfare 2D...
(ENTRY #5) 2022-02-20 18:16:57.719741 >> Created Sprite for Player!
(ENTRY #6) 2022-02-20 18:16:57.719741 >> Finished initalizingw!
(ENTRY #7) 2022-02-20 18:16:58.147371 >> Game resumed!
(ENTRY #8) 2022-02-20 18:16:58.159378 >> Cloud created! ID: #1
(ENTRY #9) 2022-02-20 18:16:59.168244 >> Cloud created! ID: #2
(ENTRY #10) 2022-02-20 18:17:00.170414 >> Cloud created! ID: #3
(ENTRY #11) 2022-02-20 18:17:01.258639 >> Cloud created! ID: #4
(ENTRY #12) 2022-02-20 18:17:02.364658 >> Cloud created! ID: #5
(ENTRY #13) 2022-02-20 18:17:02.443270 >> Cloud removed! ID: #5
(ENTRY #14) 2022-02-20 18:17:03.366070 >> Cloud created! ID: #6
(ENTRY #15) 2022-02-20 18:17:04.497314 >> Cloud created! ID: #7
(ENTRY #16) 2022-02-20 18:17:05.536304 >> Cloud created! ID: #8
(ENTRY #17) 2022-02-20 18:17:05.536804 >> Cloud removed! ID: #8
(ENTRY #18) 2022-02-20 18:17:06.541858 >> Cloud created! ID: #9
(ENTRY #19) 2022-02-20 18:17:07.646945 >> Cloud created! ID: #10
(ENTRY #20) 2022-02-20 18:17:08.666378 >> Cloud created! ID: #11
(ENTRY #21) 2022-02-20 18:17:09.676551 >> Cloud created! ID: #12
(ENTRY #22) 2022-02-20 18:17:09.768176 >> Cloud removed! ID: #12
(ENTRY #23) 2022-02-20 18:17:10.810419 >> Cloud created! ID: #13
(ENTRY #24) 2022-02-20 18:17:10.878696 >> Cloud removed! ID: #13
(ENTRY #25) 2022-02-20 18:17:11.923695 >> Cloud removed! ID: #13
(ENTRY #26) 2022-02-20 18:17:11.948724 >> Cloud removed! ID: #13
(ENTRY #27) 2022-02-20 18:17:11.960396 >> Cloud created! ID: #14
